ID,Age_Group,Gender,Employment,Income,Education,Cafe_Frequency,Reading_Frequency,Visit_Reason,Coffee_Preferences,Food_Preferences,Favorite_Genres,Avg_Spend_AED,Total_Spend_AED,Willing_Pay_Membership,Consider_Membership,Visit_Likelihood,Will_Recommend
64,35-44,Male,Full-time employed,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Ambiance and interior design|Coffee/beverages quality,"Cold Brew/Iced Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|No food, just beverages|Sandwiches/Wraps",Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Business/Self-Help|Poetry,62,165,354,"Yes, depending on price",Probably will visit,Maybe
65,45-54,Female,Homemaker,"35,001 - 50,000",Master's Degree,2-3 times per week,Daily reader (read every day),"Food quality|Relaxation and ""me-time""","Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Salads|Sandwiches/Wraps|Traditional Arabic sweets,Non-Fiction - Science/Technology|Religious/Spiritual,45,74,301,"Yes, depending on price",Definitely will visit,Definitely yes
66,45-54,Female,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a month,Regular reader (3-5 times per week),Business meetings,"Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","No food, just beverages|Traditional Arabic sweets",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help,27,52,107,Maybe,Definitely will visit,Definitely yes
67,25-34,Female,Unemployed,"5,000 - 10,000",Bachelor's Degree,4-6 times per week,Occasional reader (1-2 times per week),"Relaxation and ""me-time""|Work/study in a different environment","Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Sandwiches/Wraps",Comics/Graphic Novels|Non-Fiction - Science/Technology|Other,15,24,0,Definitely not,Probably won't visit,Definitely not
68,18-24,Male,Student,"5,000 - 10,000",Bachelor's Degree,Rarely/Never,Occasional reader (1-2 times per week),Location convenience|Social meetings with friends/colleagues,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Fresh Juices/Smoothies|Hot Chocolate","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)",Non-Fiction - Business/Self-Help|Poetry|Religious/Spiritual,21,36,0,Definitely not,Might visit,Maybe
69,25-34,Female,Full-time employed,Prefer not to say,Other,2-3 times per month,Daily reader (read every day),Business meetings,"Filter/Drip Coffee|Hot Chocolate|Tea (Black, Green, Herbal)","Pastries (croissants, muffins)|Traditional Arabic sweets",Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy,35,74,0,Probably not,Definitely will visit,Maybe
70,25-34,Male,Self-employed/Business owner,"35,001 - 50,000",Bachelor's Degree,4-6 times per week,Non-reader,Coffee/beverages quality,Cold Brew/Iced Coffee|Hot Chocolate,"International cuisine options|Light snacks (cookies, biscuits)|Salads",Unknown,60,130,194,Maybe,Might visit,Maybe
71,25-34,Male,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,2-3 times per month,Non-reader,"Relaxation and ""me-time""|Social meetings with friends/colleagues","Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|International cuisine options|No food, just beverages|Salads",Unknown,40,92,0,Definitely not,Definitely will visit,Probably yes
72,55+,Female,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Traditional Arabic sweets",Fiction - Contemporary/Romance|Non-Fiction - Science/Technology|Poetry,60,183,290,Maybe,Definitely will visit,Definitely yes
73,45-54,Prefer not to say,Self-employed/Business owner,"50,001 - 75,000",Diploma/Vocational Training,2-3 times per week,Monthly reader (few times a month),Ambiance and interior design,Cold Brew/Iced Coffee|Fresh Juices/Smoothies,"Desserts (cakes, brownies)|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets",Children's/Young Adult|Other,76,161,342,Maybe,Definitely will visit,Definitely yes
74,25-34,Male,Part-time employed,"10,001 - 20,000",Diploma/Vocational Training,2-3 times per month,Monthly reader (few times a month),"Location convenience|Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Traditional Arabic sweets|Vegan/Healthy options,Fiction - Contemporary/Romance|Non-Fiction - Science/Technology,34,75,0,Probably not,Probably won't visit,Definitely not
75,35-44,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Daily,Regular reader (3-5 times per week),Social meetings with friends/colleagues|Work/study in a different environment,"Arabic/Turkish Coffee|Tea (Black, Green, Herbal)","Pastries (croissants, muffins)|Salads",Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology|Poetry,60,108,319,"Yes, definitely",Might visit,Probably not
76,25-34,Female,Full-time employed,"Above 75,000",Bachelor's Degree,4-6 times per week,Monthly reader (few times a month),"Coffee/beverages quality|Relaxation and ""me-time""","Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Breakfast items|International cuisine options|Sandwiches/Wraps|Vegan/Healthy options,Fiction - Contemporary/Romance|Fiction - Literary|Non-Fiction - History/Politics|Other|Religious/Spiritual,57,139,456,"Yes, depending on price",Definitely will visit,Definitely yes
77,55+,Female,Full-time employed,"20,001 - 35,000",Bachelor's Degree,2-3 times per week,Rare reader (few times a year),"Relaxation and ""me-time""",Cold Brew/Iced Coffee|Fresh Juices/Smoothies,"Desserts (cakes, brownies)|Vegan/Healthy options",Other,29,47,226,"Yes, definitely",Might visit,Maybe
78,25-34,Female,Full-time employed,"Above 75,000",Bachelor's Degree,4-6 times per week,Regular reader (3-5 times per week),Business meetings|Food quality,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Non-caffeinated beverages only,"Pastries (croissants, muffins)|Salads",Fiction - Literary|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,68,169,397,"Yes, depending on price",Probably will visit,Maybe
79,25-34,Male,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,2-3 times per month,Daily reader (read every day),Food quality|Social meetings with friends/colleagues,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)",Children's/Young Adult|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Poetry,27,48,294,Maybe,Probably will visit,Maybe
80,25-34,Male,Full-time employed,"5,000 - 10,000",Bachelor's Degree,2-3 times per month,Daily reader (read every day),Business meetings|Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only|Tea (Black, Green, Herbal)",Breakfast items|Salads,Children's/Young Adult|Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Poetry,21,26,0,Definitely not,Definitely will visit,Probably yes
81,35-44,Female,Full-time employed,"Above 75,000",Diploma/Vocational Training,2-3 times per week,Monthly reader (few times a month),Free WiFi,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Light snacks (cookies, biscuits)|Traditional Arabic sweets",Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Business/Self-Help|Poetry,62,158,0,Definitely not,Probably will visit,Probably yes
82,25-34,Male,Full-time employed,"50,001 - 75,000",Bachelor's Degree,2-3 times per week,Regular reader (3-5 times per week),Location convenience,"Arabic/Turkish Coffee|Filter/Drip Coffee|Hot Chocolate|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets",Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,80,175,310,"Yes, depending on price",Definitely will visit,Definitely yes
83,35-44,Male,Full-time employed,"35,001 - 50,000",Master's Degree,Daily,Monthly reader (few times a month),Work/study in a different environment,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)","No food, just beverages|Pastries (croissants, muffins)",Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Other,36,82,183,Maybe,Probably will visit,Probably yes
84,45-54,Male,Self-employed/Business owner,"Above 75,000",Diploma/Vocational Training,2-3 times per week,Regular reader (3-5 times per week),Ambiance and interior design|Work/study in a different environment,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)","Pastries (croissants, muffins)|Traditional Arabic sweets",Children's/Young Adult|Non-Fiction - Biography/Memoir,72,168,493,"Yes, definitely",Definitely will visit,Probably yes
85,25-34,Male,Full-time employed,"50,001 - 75,000",Diploma/Vocational Training,Daily,Regular reader (3-5 times per week),Coffee/beverages quality,"Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets",Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Other,69,188,404,"Yes, definitely",Probably will visit,Probably yes
86,25-34,Male,Full-time employed,"35,001 - 50,000",Bachelor's Degree,2-3 times per month,Regular reader (3-5 times per week),Ambiance and interior design|Coffee/beverages quality,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Vegan/Healthy options",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Poetry,33,71,346,"Yes, definitely",Definitely will visit,Definitely yes
87,55+,Female,Retired,"35,001 - 50,000",High School or below,2-3 times per week,Regular reader (3-5 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","Breakfast items|International cuisine options|No food, just beverages|Pastries (croissants, muffins)",Children's/Young Adult|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Religious/Spiritual,32,65,217,"Yes, depending on price",Might visit,Maybe
88,35-44,Male,Unemployed,"Less than 5,000",Doctorate/PhD,Once a month,Occasional reader (1-2 times per week),Business meetings|Social meetings with friends/colleagues,"Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)|Pastries (croissants, muffins)|Traditional Arabic sweets",Children's/Young Adult|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics,17,20,164,"Yes, definitely",Might visit,Maybe
89,18-24,Male,Student,"20,001 - 35,000",Bachelor's Degree,4-6 times per week,Rare reader (few times a year),"Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies",International cuisine options|Sandwiches/Wraps,Unknown,37,80,0,Probably not,Probably will visit,Maybe
90,18-24,Female,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a month,Regular reader (3-5 times per week),Ambiance and interior design|Social meetings with friends/colleagues,"Fresh Juices/Smoothies|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages",Children's/Young Adult|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Religious/Spiritual,34,69,0,Definitely not,Probably will visit,Maybe
91,18-24,Female,Homemaker,Prefer not to say,Bachelor's Degree,Rarely/Never,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee","Breakfast items|Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,40,61,106,"Yes, depending on price",Definitely will visit,Probably yes
92,35-44,Male,Self-employed/Business owner,Prefer not to say,Bachelor's Degree,2-3 times per week,Rare reader (few times a year),Social meetings with friends/colleagues|Work/study in a different environment,"Filter/Drip Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Pastries (croissants, muffins)|Salads|Vegan/Healthy options",Unknown,38,66,111,Maybe,Probably will visit,Probably not
93,45-54,Female,Homemaker,"50,001 - 75,000",Bachelor's Degree,Daily,Regular reader (3-5 times per week),Business meetings|Food quality,"Arabic/Turkish Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Breakfast items|Sandwiches/Wraps,Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,49,154,0,Definitely not,Definitely will visit,Probably yes
94,25-34,Female,Unemployed,"Less than 5,000",Master's Degree,Once a week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Sandwiches/Wraps|Vegan/Healthy options",Children's/Young Adult|Comics/Graphic Novels|Fiction - Literary|Non-Fiction - History/Politics|Other,17,26,141,"Yes, depending on price",Definitely will visit,Probably yes
95,18-24,Female,Student,"5,000 - 10,000",Diploma/Vocational Training,2-3 times per month,Occasional reader (1-2 times per week),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies","Light snacks (cookies, biscuits)|No food, just beverages|Vegan/Healthy options",Children's/Young Adult|Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,22,32,118,Maybe,Probably will visit,Probably yes
96,25-34,Female,Full-time employed,Prefer not to say,Diploma/Vocational Training,2-3 times per week,Rare reader (few times a year),Business meetings|Work/study in a different environment,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Desserts (cakes, brownies)|International cuisine options|Traditional Arabic sweets",Unknown,30,47,100,Maybe,Definitely will visit,Definitely yes
97,55+,Female,Retired,"20,001 - 35,000",High School or below,Once a week,Monthly reader (few times a month),Business meetings,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Pastries (croissants, muffins)|Traditional Arabic sweets",Fiction - Literary|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help,50,102,202,"Yes, depending on price",Might visit,Maybe
98,35-44,Female,Full-time employed,Prefer not to say,High School or below,Once a month,Monthly reader (few times a month),Work/study in a different environment,"Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|Vegan/Healthy options",Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Other|Poetry,39,99,0,Probably not,Definitely will visit,Definitely yes
99,55+,Male,Retired,"35,001 - 50,000",Bachelor's Degree,4-6 times per week,Regular reader (3-5 times per week),Coffee/beverages quality|Social meetings with friends/colleagues,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Pastries (croissants, muffins)|Sandwiches/Wraps",Non-Fiction - Science/Technology|Poetry|Religious/Spiritual,35,61,157,Maybe,Probably will visit,Probably yes
